gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
ARPC2,531.419045974835,0.16333329977831132,55,ARPC2,372.59555,425.38495,0.14374924,5.211819881021052,4.66662960819069e-07,0.0930458339502783,0.0930458339502783,0.0930458339502783,11782,B_tda_only
RPS12,527.9256735218568,0.16225960086890753,56,RPS12,2946.9648,2316.9307,-0.47646904,-9.991547914768582,5.948096034088018e-19,-0.1920536270588064,0.1920536270588064,0.1920536270588064,6534,B_tda_only
TMEM106C,526.2965941529103,0.16175889824835563,57,TMEM106C,100.93192,162.96597,0.5674162,10.987712692605209,1.5160922775797484e-21,0.2210069496879153,0.2210069496879153,0.2210069496879153,5426,B_tda_only
MYLK2,522.0943974639683,0.16046734000120375,58,MYLK2,4.02861,0.45740175,0.27191502,3.4453026093603563,0.0007930435728731,0.1757543870979977,0.1757543870979977,0.1757543870979977,7272,B_tda_only
SNW1,521.5658995647226,0.16030490452497545,59,SNW1,72.805336,72.73097,-0.03846836,-1.6511604466410814,0.1002731207699435,-0.0294273815363486,0.0294273815363486,0.0294273815363486,17176,B_tda_only
DDX55,519.08730600251,0.15954310106988318,60,DDX55,22.756218,25.87509,0.14384317,3.3995898980277484,0.0008695320624521,0.0842325970592854,0.0842325970592854,0.0842325970592854,12374,B_tda_only
ATP6V0E1,518.7045963227054,0.1594254740572026,61,ATP6V0E1,429.61533,508.82602,0.1985588,5.745842456748108,4.2190821467047233e-08,0.1190604010557096,0.1190604010557096,0.1190604010557096,10173,B_tda_only
USHBP1,512.0651059143114,0.1573848059903287,62,USHBP1,9.963158,2.6053813,-1.6695509,-25.280726062322607,3.267621407899015e-54,-0.5587727418261129,0.5587727418261129,0.5587727418261129,386,B_tda_only
PGPEP1,498.9009031241104,0.15333874724072152,63,PGPEP1,16.671827,14.133231,-0.3886299,-10.044116819410048,1.7889780221427422e-20,-0.1466507403398078,0.1466507403398078,0.1466507403398078,8693,B_tda_only
DYRK3,488.29755544567485,0.15007977528980354,64,DYRK3,21.486523,12.921698,-0.80178165,-11.286477564311792,8.307943462010891e-22,-0.2589743213270783,0.2589743213270783,0.2589743213270783,4308,B_tda_only
PSTK,487.42258890957334,0.14981085159837862,65,PSTK,6.0739994,5.488224,-0.17297745,-3.8639712264742734,0.0001669122397727,-0.0953818914370143,0.0953818914370143,0.0953818914370143,11624,B_tda_only
CCNI2,485.58261656900294,0.14924533036581744,66,CCNI2,0.7262808,2.2692568,0.45720112,10.06528369208862,8.113716587540208e-21,0.1407657084646749,0.1407657084646749,0.1407657084646749,9000,B_tda_only
ARHGDIA,480.1070720894003,0.14756240470722376,67,ARHGDIA,248.603,378.0971,0.53260136,12.157584882997307,5.535188681666068e-25,0.2381649703287655,0.2381649703287655,0.2381649703287655,4896,B_tda_only
GARS,479.24363468866363,0.1472970245314801,68,GARS,74.9451,128.18033,0.65054846,24.13733823833712,2.4562568834707498e-74,0.3185545218849392,0.3185545218849392,0.3185545218849392,2845,B_tda_only
GNG13,465.49190452573146,0.14307038741302236,69,GNG13,0.22097799,3.5081184,1.0053653,22.0608746641838,1.0434720452975576e-83,0.2370968953411065,0.2370968953411065,0.2370968953411065,4918,B_tda_only
ARL6IP1,459.65522722638167,0.14127646645692415,70,ARL6IP1,240.90402,447.01523,0.7807665,17.28090501264044,3.310314868457343e-40,0.3161247427173054,0.3161247427173054,0.3161247427173054,2896,B_tda_only
COPS2,457.8654418629964,0.14072637034819252,71,COPS2,74.43868,55.93528,-0.46225405,-11.719096454608628,2.3996249686774176e-23,-0.2469540349270543,0.2469540349270543,0.2469540349270543,4646,B_tda_only
PTK2,456.2243237381224,0.14022196757849134,72,PTK2,68.685715,93.037506,0.29687214,8.136751935819381,2.1401806631000036e-14,0.1279310014272774,0.1279310014272774,0.1279310014272774,9686,B_tda_only
GUSBP4,453.7954474260632,0.13947544487516167,73,GUSBP4,6.137888,4.527407,-0.3936243,-7.609990419199565,3.633563859281376e-12,-0.2003328627556291,0.2003328627556291,0.2003328627556291,6205,B_tda_only
RPL29,453.4714203171427,0.13937585413350784,74,RPL29,1638.8593,1384.4077,-0.32936478,-6.551649691522674,6.839026531226611e-10,-0.1367585421285941,0.1367585421285941,0.1367585421285941,9207,B_tda_only
