gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
ELAC1,668.0643339042192,0.20533165483486057,38,ELAC1,10.448373,6.042169,-0.818197,-25.562781642331792,1.1245748255542794e-73,-0.3599862640892024,0.3599862640892024,0.3599862640892024,2084,B_tda_only
GRAMD2,654.7087697689523,0.20122678057953078,39,GRAMD2,19.331629,8.827533,-1.244864,-8.228770080432943,1.5459919360510057e-13,-0.2424097522332325,0.2424097522332325,0.2424097522332325,4764,B_tda_only
PPIP5K1,649.3064254538899,0.19956635321961355,40,PPIP5K1,10.357699,9.844157,-0.18354678,-4.089850336498444,6.410018820687146e-05,-0.0767545357508164,0.0767545357508164,0.0767545357508164,12864,B_tda_only
HNRNPH3,642.187934733563,0.19737846291421537,41,HNRNPH3,154.52661,126.09196,-0.34520674,-10.565819719136195,9.173031374176076e-21,-0.1947498477394367,0.1947498477394367,0.1947498477394367,6431,B_tda_only
CYC1,633.7874607177918,0.1947965510480704,42,CYC1,160.3402,277.73035,0.66900015,14.783421323201976,2.2003703518605984e-33,0.2653470086467471,0.2653470086467471,0.2653470086467471,4137,B_tda_only
AES,616.7937307953026,0.18957347520085466,43,AES,456.00153,491.49518,0.01697445,0.535411323162336,0.59285629145155,0.008475534299931,0.008475534299931,0.008475534299931,19880,B_tda_only
PCDH18,615.8696220701383,0.18928944750448537,44,PCDH18,42.283302,11.74481,-1.8904204,-19.46675566066937,6.745488745120825e-42,-0.4558347589806647,0.4558347589806647,0.4558347589806647,1018,B_tda_only
MARVELD2,611.5295734475355,0.18795552003595123,45,MARVELD2,14.181873,20.969648,0.56985044,4.451697896198151,1.80855811107146e-05,0.1395662214152039,0.1395662214152039,0.1395662214152039,9069,B_tda_only
CD160,602.744625310434,0.1852554388505244,46,CD160,2.213845,1.7115462,-0.35173595,-8.23393265976833,5.634037236786116e-14,-0.1750415891417208,0.1750415891417208,0.1750415891417208,7311,B_tda_only
MRP63,602.6653935401215,0.18523108671901833,47,MRP63,31.142498,39.917377,0.2774663,9.132189709749738,5.63722998009245e-17,0.155261789666245,0.155261789666245,0.155261789666245,8263,B_tda_only
LARP7,593.6793753058503,0.18246920601265557,48,LARP7,63.98515,55.475807,-0.24422693,-6.910924664385074,1.0178229729864483e-10,-0.1462545717826607,0.1462545717826607,0.1462545717826607,8720,B_tda_only
SERPINA10,586.3401247086836,0.18021346447118297,49,SERPINA10,0.17222168,0.26263803,0.001172632,0.0414768348639778,0.9669632732212948,0.0008318931201558,0.0008318931201558,0.0008318931201558,20779,B_tda_only
