gene,tda_importance,tda_importance_norm,tda_rank,Gene,Mean_Normal,Mean_Tumor,Log2FC,T_Stat,P_Value,PB_Corr,Abs_PB_Corr,abs_pb,euclidean_rank,category
RRAD,5.287915821549332,0.0016252574058561163,8426,RRAD,11.520581,4.1876235,-1.3202723,-13.008330000410954,4.7591383912559823e-26,-0.3176851040488818,0.3176851040488818,0.3176851040488818,2868,D_neither
MT3,5.286586660485268,0.0016248488840611699,8427,MT3,0.19396727,1.1741049,0.3623625,10.451885993664154,3.2624628223290645e-23,0.1270319798199777,0.1270319798199777,0.1270319798199777,9735,D_neither
C4orf3,5.286446863282098,0.001624805916955142,8428,C4orf3,166.93636,113.0252,-0.6050286,-18.710007162020503,1.260739428877089e-43,-0.3496523569875567,0.3496523569875567,0.3496523569875567,2279,D_neither
ASB1,5.286175608793835,0.0016247225460428963,8429,ASB1,17.92883,8.907129,-1.020215,-32.49160925118219,5.749663629373432e-86,-0.4775353573980799,0.4775353573980799,0.4775353573980799,851,D_neither
TMEM200C,5.286018022618265,0.0016246741114407679,8430,TMEM200C,2.6502378,1.9817423,-0.45229077,-5.543824450849229,1.415182869106829e-07,-0.1464110359675215,0.1464110359675215,0.1464110359675215,8709,D_neither
C16orf53,5.284847769999704,0.0016243144306517343,8431,C16orf53,24.801092,54.50503,1.0363111,22.43057095815844,2.3650427232098332e-51,0.4408956026027774,0.4408956026027774,0.4408956026027774,1161,D_neither
ATG5,5.284425154692677,0.0016241845385201736,8432,ATG5,36.88012,37.89113,-0.12706423,-3.9977195551539735,8.325261205446899e-05,-0.0607869388840645,0.0607869388840645,0.0607869388840645,14099,D_neither
SUPT6H,5.284148254440209,0.0016240994323647065,8433,SUPT6H,77.22632,80.58749,-0.042616367,-1.146541891137106,0.2529533258261636,-0.0205950939743739,0.0205950939743739,0.0205950939743739,18328,D_neither
LRRC4C,5.2839546423846615,0.0016240399250961035,8434,LRRC4C,4.7222166,4.2230725,-0.49207008,-5.813763114079589,3.098914765605915e-08,-0.1230408027688559,0.1230408027688559,0.1230408027688559,9949,D_neither
DCPS,5.2838767474385335,0.0016240159838416765,8435,DCPS,24.631865,32.43149,0.29090023,7.731535706557176,5.879578477569449e-13,0.1412804019250608,0.1412804019250608,0.1412804019250608,8974,D_neither
RAB33A,5.283070276767998,0.0016237681125679786,8436,RAB33A,1.2618604,2.3162084,0.4296478,10.13920835569049,1.4448350138987358e-19,0.1857308285670707,0.1857308285670707,0.1857308285670707,6821,D_neither
MMAB,5.282512543765391,0.0016235966915916303,8437,MMAB,21.779692,17.413696,-0.3479619,-8.08970644869419,1.7026501928004121e-13,-0.1850366385345193,0.1850366385345193,0.1850366385345193,6850,D_neither
PART1,5.2823057363090795,0.0016235331286754836,8438,PART1,1.6956085,1.3054031,-0.50513273,-7.226817994964014,1.976565728309347e-11,-0.1591062334239886,0.1591062334239886,0.1591062334239886,8088,D_neither
DPEP3,5.28209412504076,0.0016234680892927465,8439,DPEP3,0.29023483,0.17070359,-0.14722724,-7.244126962173729,2.6232961643428468e-11,-0.1903090220567078,0.1903090220567078,0.1903090220567078,6616,D_neither
AMZ2P1,5.281589111689576,0.0016233128718655472,8440,AMZ2P1,10.405274,9.688697,-0.21649075,-6.341747774087496,1.130630491403537e-09,-0.1008255697820737,0.1008255697820737,0.1008255697820737,11258,D_neither
RBM41,5.281390485550562,0.001623251823502766,8441,RBM41,10.54431,9.488992,-0.17114854,-3.6589122803657577,0.0003530018793387,-0.0911077297436201,0.0911077297436201,0.0911077297436201,11903,D_neither
